nombre	apellidos	ciudad	sueldo
"Basilio Frías"	"Bejarano"	"Soria"	1954
"Zaida Valenzuela Real"	"Barral"	"Lleida"	2013
"Esmeralda Máxima Marquez Roldán"	"Español"	"Ávila"	1608
"Amarilis Querol Riera"	"Coronado"	"Ciudad"	3673
"Jose Manuel Figuerola"	"Maldonado"	"Las Palmas"	1100
"Viviana Gárate Alberola"	"Tejedor"	"Toledo"	1903
"Abraham del Lago"	"Benavente"	"Huesca"	2959
"Teófilo Cabeza-Alcalá"	"Pereira"	"Valladolid"	2929
"Rosa Jara"	"Sureda"	"Tarragona"	4038
"Maribel Barberá Rodriguez"	"Jáuregui"	"Cádiz"	5829
"Ale Arnaiz Bermudez"	"Frutos"	"Huesca"	3544
"Augusto de Barrena"	"Huerta"	"Girona"	2016
"Gabriel de López"	"Gracia"	"Tarragona"	2536
"Miriam Sobrino Conesa"	"Aller"	"León"	3522
"Baldomero Fortuny Cid"	"Feliu"	"Melilla"	1508
"José Mari Montalbán Riera"	"Álvaro"	"Sevilla"	4485
"Salvador Campos Gallego"	"Lobato"	"Guipúzcoa"	2136
"Priscila del Arco"	"Campoy"	"Santa Cruz de Tenerife"	1268
"Aura Godoy Alfaro"	"Ibañez"	"Lugo"	1058
"Francisco Javier Espada-Vazquez"	"Peinado"	"Teruel"	4824
"José María Almagro-Segarra"	"Valera"	"Ávila"	3449
"Trini Garcés Tormo"	"Pazos"	"Zamora"	5032
"Cleto Sureda Chico"	"Puerta"	"Zamora"	2845
"Loreto Mascaró Cuadrado"	"Gimenez"	"Ciudad"	1709
"Angélica Castilla Cuesta"	"Bernad"	"Granada"	2271
"Bernabé Sevilla Olivera"	"Mayoral"	"Tarragona"	3193
"Zoraida Amada Lopez Requena"	"López"	"Barcelona"	3822
"Francisco Jose Fito Monreal Pellicer"	"Bellido"	"Santa Cruz de Tenerife"	2206
"Diego Sarabia Priego"	"Sanz"	"La Coruña"	2824
"Tatiana Almansa Carreras"	"Paniagua"	"Segovia"	3523
"Domingo Alcolea Báez"	"Leon"	"La Rioja"	1120
"Gervasio Nebot"	"Nogueira"	"Jaén"	2989
"Isidora Jaume Miralles"	"Ferrero"	"Asturias"	4997
"Julián Carlos-Escobar"	"Valls"	"Barcelona"	4263
"Rodolfo Pineda"	"Malo"	"Álava"	5418
"Espiridión Amat Cobos"	"Pujol"	"Córdoba"	1269
"Graciela Gras Pazos"	"Gargallo"	"Guipúzcoa"	2683
"Jafet Mas Berenguer"	"Pareja"	"Granada"	1404
"María Ángeles Giménez Ibañez"	"Pascual"	"Lugo"	4952
"María Luisa Rivas Manzano"	"Segovia"	"Asturias"	2078
"Ildefonso Boada Robles"	"Prado"	"Salamanca"	4239
"Prudencio Martin Mínguez"	"Francisco"	"Teruel"	4161
"Rogelio Almeida"	"Martinez"	"Cádiz"	1835
"Marco Coronado Barriga"	"Rosales"	"Cantabria"	5352
"Rómulo Girón Barranco"	"Valera"	"Huelva"	1499
"Jose Ramón Hoz Nogueira"	"Calleja"	"Cádiz"	5896
"Primitivo Zamora Abad"	"Calleja"	"Barcelona"	4700
"Maxi Pinilla Gras"	"Baena"	"Ciudad"	5959
"Gilberto Porcel Nicolás"	"Nicolás"	"Ávila"	2542
"Marco Arribas Zaragoza"	"Miranda"	"Baleares"	3826
"Adelina Susana Tamarit Ayala"	"Pombo"	"León"	5310
"Águeda Jove-Salazar"	"Manjón"	"Navarra"	5719
"Felicidad Gutierrez Roselló"	"Expósito"	"Cádiz"	1242
"Reynaldo Madrid Casas"	"Morcillo"	"Palencia"	3361
"Patricio Llano Verdejo"	"Valderrama"	"Córdoba"	3850
"Febe Chaves Arévalo"	"Lillo"	"Barcelona"	3283
"Quirino Medina Azcona"	"Marquez"	"Lleida"	1878
"Saturnina Gisela Giralt Ayala"	"Sanabria"	"Segovia"	5915
"Manola Etelvina Canals Crespo"	"Medina"	"Asturias"	1372
"Amando Conesa"	"Posada"	"Vizcaya"	3742
"Carla Amo Cañizares"	"Velázquez"	"Baleares"	1939
"Rosa Bravo Mesa"	"Castelló"	"Barcelona"	4408
"Josep Pavón Guillen"	"Montero"	"Zamora"	3757
"Luciana del Francisco"	"Taboada"	"Guipúzcoa"	3526
"Luciana Bilbao Godoy"	"Olmedo"	"Cádiz"	3380
"Florentina Ramos Mir"	"Echevarría"	"Huelva"	4583
"Evelia de Cabañas"	"Madrid"	"Cádiz"	2517
"Ana Belén Ramos Larrea"	"Arellano"	"Ciudad"	5700
"Imelda Cárdenas Serrano"	"Parra"	"Burgos"	4120
"Juan José Blasco Bas"	"Huerta"	"Murcia"	2742
"Dafne Lara-Guzman"	"Millán"	"Valencia"	1493
"Josefina Aliaga Esparza"	"Alegre"	"Segovia"	3284
"Delia Villalba"	"Salom"	"Cuenca"	3497
"Cecilio Tomé Goicoechea"	"Font"	"Pontevedra"	5967
"Valeria Begoña Gutierrez Franch"	"Busquets"	"Lugo"	4215
"Cirino Uribe Casado"	"Lillo"	"Baleares"	1897
"Mercedes Cordero Gimeno"	"Hoz"	"Valencia"	1466
"Silvio Salas Coello"	"Peñas"	"Salamanca"	1650
"Alejandro Villegas Cárdenas"	"Vergara"	"Barcelona"	2808
"Juan Frutos-Poza"	"Sanmiguel"	"Baleares"	1860
"Raimundo Avilés Tello"	"Redondo"	"Zaragoza"	2980
"Catalina Flores Taboada"	"Chaves"	"Huesca"	3377
"Alcides Quintero Rovira"	"Sobrino"	"Cuenca"	4377
"Bernarda Vendrell Tirado"	"Dávila"	"Girona"	1809
"Albano Ureña Cabrera"	"Fernández"	"Ávila"	3605
"María José de Saldaña"	"Portero"	"Palencia"	4057
"Eusebia Lucena Alegria"	"Martinez"	"Melilla"	1993
"Rosa María Arnau-Codina"	"Leiva"	"Ciudad"	4208
"Cristóbal Amador Peral"	"Rivera"	"Baleares"	2903
"Febe Barberá Torrijos"	"Girona"	"Navarra"	1073
"Jose Miguel Alcántara-Bertrán"	"Pareja"	"Granada"	5530
"Luz Pol Guerra"	"Pellicer"	"Ávila"	4063
"Celso Roura Calvet"	"Meléndez"	"Huelva"	5583
"Blas Gámez Escamilla"	"Cerdá"	"Guipúzcoa"	4096
"Dionisia Reyna Sabater Carpio"	"Canales"	"Salamanca"	2548
"Leocadio Fabra Manzano"	"Villalonga"	"Badajoz"	5731
"Eva María Pagès Grande"	"Quintanilla"	"Cádiz"	5975
"Fausto Cruz Vicens"	"Estevez"	"Ceuta"	4354
"Arsenio Pla Nadal"	"Pascual"	"Salamanca"	1400
"Irma Cueto Romero"	"Nebot"	"Baleares"	4946
"Daniel Barral-Saavedra"	"Rozas"	"Navarra"	4208
"Bernardino Sans Codina"	"Alegria"	"Madrid"	3463
"Lupita Borrás Tejada"	"Sanmartín"	"Málaga"	3284
"Yéssica Marcos-Rius"	"Pizarro"	"Salamanca"	2066
"Lázaro Pareja Blázquez"	"Miralles"	"Cáceres"	3813
"Trinidad Eliana Pinto Cañizares"	"Sebastián"	"La Rioja"	3170
"Calisto Ferrándiz"	"Solana"	"Lleida"	4078
"Jose Antonio Barral Doménech"	"Ferrero"	"Ourense"	1243
"Adán Ribera Escudero"	"Francisco"	"La Coruña"	2884
"Germán Alba Garriga"	"Ortuño"	"Huesca"	4122
"Luz Noriega Prado"	"Polo"	"Salamanca"	1665
"Delia de Gimenez"	"Amat"	"La Coruña"	3332
"Ruben Marcos Giralt Salcedo"	"Bernat"	"Asturias"	2372
"Ariel del Ferrándiz"	"Gual"	"Albacete"	2734
"Ana Belén Maricruz Cobo Ortuño"	"Mancebo"	"Ourense"	4264
"Bernardita Comas Taboada"	"Manrique"	"Badajoz"	3595
"Rebeca Grau Cáceres"	"Bellido"	"Santa Cruz de Tenerife"	1478
"Ruperta Lluch Aguiló"	"Bolaños"	"Guadalajara"	3147
"Eusebio Gutierrez Gras"	"Ortega"	"León"	3888
"Joaquina Albero Rueda"	"Osorio"	"Tarragona"	4353
"Eutimio Esparza-Morillo"	"Ríos"	"Ourense"	5184
"Teo Landa Miró"	"Royo"	"Ávila"	3860
"Mariana Prieto"	"Cabañas"	"Castellón"	4345
"Evangelina Noa Castelló Osorio"	"Morera"	"Asturias"	4868
"Clímaco Rivas-Abella"	"Revilla"	"Málaga"	3448
"José Ángel Izquierdo"	"Calatayud"	"Ourense"	5826
"Manuelita Cabezas"	"Abella"	"Almería"	5882
"Agapito Quintanilla Bravo"	"Ordóñez"	"La Coruña"	1850
"Carmelo del Priego"	"Revilla"	"Melilla"	1557
"Lino Martínez Marín"	"Palau"	"Valencia"	3599
"Remigio Marqués Vélez"	"Granados"	"Palencia"	1327
"María Dolores Asensio Sainz"	"Cano"	"Cantabria"	2905
"Julia Verdejo Amat"	"Rocamora"	"Baleares"	2479
"Alexandra Fabiana Soria Tomé"	"Carrión"	"Huelva"	1217
"Felipa Palomar Salgado"	"Frías"	"Tarragona"	1502
"Leoncio Moya Mariño"	"Orozco"	"Baleares"	3616
"Ariel Cabrera Mariño"	"Esteve"	"Barcelona"	4740
"Benito Valenzuela Villegas"	"Quirós"	"Soria"	5584
"Azahar Alcaraz Lloret"	"Olmo"	"Granada"	5723
"Nilo Campoy Carbajo"	"Correa"	"Ceuta"	4589
"Casandra Tovar Jaén"	"Lumbreras"	"Badajoz"	4414
"Sonia Dávila Gámez"	"Castelló"	"Alicante"	1051
"Josué Peiró"	"Baró"	"Sevilla"	2340
"Victoriano Armas Pou"	"Castañeda"	"Cádiz"	1164
"Albino Rafael Cardona Oliver"	"Ferrando"	"Lleida"	1570
"Candelario Barba Águila"	"Torrents"	"Guipúzcoa"	3319
"Diego Caparrós Ayllón"	"Salas"	"Córdoba"	3189
